nprocs,HOOI_totals,HOOI_grids,HOOI_DT_totals,HOOI_DT_grids,HOSI_totals,HOSI_grids,HOSI_DT_totals,HOSI_DT_grids,STHOSVD_totals,STHOSVD_grids
1,430.253,1x1x1,344.0,1x1x1,387.023,1x1x1,292.765,1x1x1,1701.02,1x1x1
2,290.333,1x2x1,240.165,1x2x1,189.006,2x1x1,132.312,1x2x1,905.796,1x2x1
4,213.633,2x2x1,185.992,2x2x1,82.8726,2x2x1,52.3128,1x4x1,477.408,1x4x1
8,171.648,1x8x1,155.122,1x8x1,43.4549,1x8x1,25.8809,1x8x1,270.47,1x8x1
16,155.19,4x4x1,143.85,1x16x1,24.6032,4x4x1,13.3864,1x16x1,172.229,1x16x1
32,162.422,8x4x1,150.825,1x32x1,18.8699,8x4x1,7.69959,1x32x1,129.369,1x32x1
64,161.165,8x8x1,149.852,1x64x1,14.6961,8x8x1,6.75317,1x64x1,104.479,1x64x1
128,170.924,16x8x1,163.226,1x128x1,16.1243,16x8x1,8.63538,1x128x1,101.176,1x128x1
256,163.079,1x16x16,161.618,1x16x16,6.83808,1x16x16,4.5088,1x256x1,88.7879,1x16x16
512,161.919,1x16x32,160.876,1x512x1,3.79605,1x16x32,2.33117,1x512x1,84.3824,1x16x32
1024,160.722,16x8x8,159.438,1x1024x1,2.76126,16x8x8,1.36182,1x1024x1,81.6031,1x32x32
2048,157.746,16x16x8,157.766,16x16x8,1.61663,1x32x64,1.06373,16x16x8,79.9391,16x16x8
4096,159.311,16x16x16,158.841,16x16x16,0.955458,16x16x16,0.660253,16x16x16,79.8083,16x16x16
