nprocs,HOOI_totals,HOOI_grids,HOOI_DT_totals,HOOI_DT_grids,HOSI_totals,HOSI_grids,HOSI_DT_totals,HOSI_DT_grids,STHOSVD_totals,STHOSVD_grids
1,756.61,1x1x1,557.318,1x1x1,546.696,1x1x1,335.768,1x1x1,2194.29,1x1x1
2,409.086,2x1x1,332.112,2x1x1,209.676,1x2x1,133.872,1x2x1,1127.34,1x2x1
4,273.641,1x4x1,241.666,1x4x1,84.6426,1x4x1,50.7849,1x4x1,586.579,1x4x1
8,231.843,1x8x1,213.764,1x8x1,45.3458,1x8x1,25.1932,1x8x1,343.556,1x8x1
16,216.441,4x4x1,202.404,1x16x1,24.8589,4x4x1,12.9731,1x16x1,222.444,1x16x1
32,227.84,8x4x1,215.483,1x32x1,19.5037,8x4x1,7.71314,1x32x1,174.977,1x32x1
64,223.095,8x8x1,216.115,8x8x1,14.3464,8x8x1,5.1194,1x64x1,144.225,1x64x1
128,243.439,16x8x1,231.742,1x128x1,17.6354,16x8x1,5.43755,1x128x1,140.943,1x128x1
256,231.67,1x16x16,228.591,1x256x1,5.86687,1x16x16,2.87222,1x256x1,126.559,1x16x16
512,230.864,8x8x8,228.948,1x512x1,3.29077,1x16x32,1.64443,1x512x1,120.345,1x16x32
1024,227.586,8x16x8,226.277,4x64x4,2.11469,8x16x8,0.888687,2x256x2,116.404,1x32x32
2048,224.12,1x32x64,223.565,16x16x8,1.33272,1x32x64,0.615914,2x512x2,113.51,1x32x64
4096,227.426,16x16x16,226.734,1x64x64,0.867577,16x16x16,0.439956,2x1024x2,114.358,1x64x64
8192,227.888,32x16x16,227.43,16x32x16,0.967102,16x32x16,0.66361,16x32x16,113.877,32x16x16
