CoreSize,CompressionRatio,HOOI_Time,HOOI_DT_Time,HOSI_Time,HOSI_DT_Time,STHOSVD_Time,HOOI_retaive_to_STHOSVD,HOOI_DT_retaive_to_STHOSVD,HOSI_retaive_to_STHOSVD,HOSI_DT_retaive_to_STHOSVD,STHOSVD_retaive_to_STHOSVD
750,5,6697.49,5002.6,6519.66,4809.83,3560.1,1.8812645712199096,1.4051852476054045,1.831313727142496,1.3510378921940396,1.0
625,6,5437.55,3993.85,5180.72,3760.38,3300.5,1.6474928041205879,1.2100742311770945,1.5696773216179367,1.139336464172095,1.0
375,10,3267.64,2318.81,3077.5,2128.1,2758.3,1.1846572164014066,0.8406663524634738,1.115723452851394,0.7715259398905122,1.0
250,15,2338.01,1645.44,2171.24,1462.19,2523.88,0.9263554527156601,0.6519485870960584,0.8602786186348003,0.5793421240312535,1.0
150,25,1569.77,1130.48,1499.77,994.717,2360.05,0.6651426876549225,0.4790068007033749,0.6354822991038325,0.4214813245482087,1.0
125,30,1412.48,992.897,1215.18,805.399,2337.97,0.604148042960346,0.42468337917081916,0.519758593993935,0.3444864561991814,1.0
75,50,1068.83,768.06,844.671,575.793,2263.4,0.4722232040293363,0.3393390474507378,0.3731867986215428,0.254392948661306,1.0
50,75,875.121,641.994,634.779,443.002,2206.58,0.3965960898766417,0.2909452637112636,0.28767549782921986,0.20076407834748797,1.0
30,125,739.394,494.525,527.107,317.221,2167.74,0.3410897985920821,0.22812929594877615,0.24315969627353834,0.14633719911059445,1.0
25,150,716.714,535.991,474.625,290.984,2147.88,0.333684377153286,0.2495442017244911,0.2209737043037786,0.1354749799802596,1.0
15,250,677.255,502.602,422.147,265.982,2156.03,0.31412132484241867,0.23311456705147884,0.1957982959420787,0.12336655797924889,1.0
10,375,580.614,452.229,307.187,219.061,2127.91,0.27285646479409376,0.21252261608808645,0.1443608987222204,0.10294655319068946,1.0
6,625,564.35,437.016,298.397,170.777,2120.79,0.26610366891582854,0.20606283507560863,0.1407008709018809,0.08052518165400628,1.0
5,750,560.745,438.621,294.796,170.852,2134.06,0.262759716221662,0.20553358387299325,0.13813857154906609,0.08005960469715004,1.0
3,1250,494.846,433.507,311.29,170.819,2112.08,0.2342932085905837,0.20525122154463846,0.1473855157001629,0.08087714480512101,1.0
2,1875,474.347,398.374,237.875,149.957,2107.01,0.2251280250212386,0.1890707685298124,0.11289694875676906,0.07117052125998452,1.0
